Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
2024-12-05,PA008,Perth,New York,Economy,2200,Yes,1,Nut Free
2024-03-13,PA001,London,New York,Premium Economy,1422.5,Yes,0,Dairy Free
2024-12-05,PA012,Tokyo,Perth,Economy,2230,Yes,3,None
2024-08-21,PA008,Perth,New York,First Class,300,Yes,0,Vegan
2024-10-31,PA010,Tokyo,New York,Premium Economy,780,Yes,2,None
2024-11-01,PA009,New York,Tokyo,Premium Economy,1585,Yes,1,Dairy Free
2024-06-04,PA010,Tokyo,New York,First Class,389,Yes,1,Egg Free
2024-06-12,PA012,Tokyo,Perth,Business Class,318,Yes,1,Nut Free
2024-08-13,PA011,Perth,Tokyo,Economy,1165,Yes,0,None
2024-02-03,PA003,London,Perth,Premium Economy,1095,Yes,3,None
2024-08-20,PA005,London,Tokyo,Premium Economy,1632.5,Yes,2,Vegan
2024-01-20,PA004,Perth,London,First Class,440,Yes,3,Dairy Free
2024-05-04,PA007,New York,Perth,Premium Economy,1680,Yes,1,Nut Free
2024-01-03,PA006,Tokyo,London,Economy,1280,Yes,1,Dairy Free
2024-04-11,PA008,Perth,New York,First Class,676,Yes,1,Egg Free
2024-03-21,PA004,Perth,London,Business Class,836.4,Yes,1,Egg Free
2024-10-09,PA011,Perth,Tokyo,Economy,3065,Yes,3,Dairy Free
2024-05-31,PA007,New York,Perth,Premium Economy,725,Yes,3,Dairy Free
2024-05-19,PA005,London,Tokyo,Business Class,424.8,Yes,2,Nut Free
2024-01-25,PA012,Tokyo,Perth,Business Class,358.8,Yes,0,None
2024-01-02,PA003,London,Perth,Premium Economy,1200,Yes,3,Dairy Free
2024-05-15,PA008,Perth,New York,Business Class,427.2,Yes,0,Vegan
2024-04-24,PA010,Tokyo,New York,Economy,2130,Yes,0,Dairy Free
2024-04-28,PA002,New York,London,Business Class,241.2,Yes,2,Vegetarian
2024-12-13,PA003,London,Perth,Premium Economy,505,Yes,2,None
2024-10-20,PA011,Perth,Tokyo,First Class,385,Yes,2,Dairy Free
2024-08-27,PA002,New York,London,First Class,573,Yes,1,Vegan
2024-11-12,PA003,London,Perth,Economy,2190,Yes,3,Vegetarian
2024-07-23,PA009,New York,Tokyo,Business Class,339.6,Yes,1,Vegetarian
2024-02-22,PA005,London,Tokyo,Business Class,468,Yes,1,None
2024-09-18,PA001,London,New York,Economy,1020,Yes,0,Vegetarian
2024-12-06,PA011,Perth,Tokyo,Business Class,601.2,Yes,3,Dairy Free
2024-10-10,PA001,London,New York,Economy,3035,Yes,3,Vegetarian
2024-12-14,PA007,New York,Perth,Premium Economy,1305,Yes,2,Nut Free
2024-11-07,PA006,Tokyo,London,First Class,252,Yes,0,None
2024-03-21,PA003,London,Perth,Business Class,272.4,Yes,2,Nut Free
2024-02-26,PA009,New York,Tokyo,Premium Economy,1085,Yes,2,Vegan
2024-07-31,PA012,Tokyo,Perth,Premium Economy,817.5,Yes,1,Egg Free
2024-01-20,PA008,Perth,New York,Economy,2330,Yes,1,Egg Free
2024-08-26,PA007,New York,Perth,Economy,2235,Yes,1,None
2024-04-05,PA005,London,Tokyo,Economy,3005,Yes,0,None
2024-01-05,PA010,Tokyo,New York,First Class,681,Yes,0,None
2024-03-02,PA006,Tokyo,London,Business Class,558,Yes,2,Vegetarian
2024-03-06,PA009,New York,Tokyo,Economy,1840,Yes,3,Vegetarian
2024-04-16,PA012,Tokyo,Perth,First Class,506,Yes,2,Nut Free
2024-05-29,PA007,New York,Perth,Business Class,240,Yes,1,Vegetarian
2024-01-04,PA002,New York,London,Premium Economy,1635,Yes,2,Egg Free
2024-07-07,PA011,Perth,Tokyo,Economy,2590,Yes,1,Vegetarian
2024-10-06,PA003,London,Perth,Business Class,783.6,Yes,2,Vegan
2024-05-03,PA001,London,New York,Economy,3160,Yes,2,None
2024-08-09,PA011,Perth,Tokyo,First Class,512,Yes,0,Egg Free
2024-10-27,PA010,Tokyo,New York,Economy,1715,Yes,0,Nut Free
2024-06-10,PA009,New York,Tokyo,First Class,517,Yes,2,Vegan
2024-12-20,PA006,Tokyo,London,Economy,2725,Yes,0,Vegetarian
2024-11-27,PA012,Tokyo,Perth,Economy,2500,Yes,1,Dairy Free
2024-03-23,PA009,New York,Tokyo,Economy,2300,Yes,1,Dairy Free
2024-07-06,PA003,London,Perth,First Class,305,Yes,1,Egg Free
2024-12-05,PA002,New York,London,Business Class,499.2,Yes,0,Vegetarian
2024-07-09,PA012,Tokyo,Perth,Economy,1420,Yes,0,Nut Free
2024-03-31,PA006,Tokyo,London,First Class,300,Yes,0,None
2024-05-06,PA004,Perth,London,First Class,591,Yes,3,None
2024-04-10,PA001,London,New York,Premium Economy,1042.5,Yes,0,None
2024-05-16,PA003,London,Perth,Economy,2925,Yes,1,Vegan
2024-12-01,PA008,Perth,New York,First Class,340,Yes,1,Egg Free
2024-06-26,PA003,London,Perth,Business Class,463.2,Yes,1,Vegan
2024-12-21,PA001,London,New York,Business Class,325.2,Yes,3,Vegetarian
2024-07-10,PA007,New York,Perth,Economy,1600,Yes,1,Vegetarian
2024-12-16,PA006,Tokyo,London,Premium Economy,1582.5,Yes,0,Nut Free
2024-05-23,PA003,London,Perth,Economy,2045,Yes,2,None
2024-08-14,PA004,Perth,London,Premium Economy,742.5,Yes,2,Vegan
2024-09-19,PA011,Perth,Tokyo,Business Class,332.4,Yes,2,Dairy Free
2024-07-06,PA004,Perth,London,Premium Economy,595,Yes,2,Vegan
2024-01-23,PA001,London,New York,Premium Economy,1290,Yes,3,Vegan
2024-07-07,PA008,Perth,New York,First Class,348,Yes,2,Vegetarian
2024-11-06,PA001,London,New York,Economy,1245,Yes,2,None
2024-08-19,PA005,London,Tokyo,Business Class,421.2,Yes,0,Nut Free
2024-05-06,PA002,New York,London,Premium Economy,912.5,Yes,0,Dairy Free
2024-12-17,PA011,Perth,Tokyo,First Class,511,Yes,1,Dairy Free
2024-07-29,PA011,Perth,Tokyo,Business Class,337.2,Yes,1,Vegan
2024-01-08,PA008,Perth,New York,Economy,3065,Yes,1,Vegan
2024-12-29,PA003,London,Perth,Premium Economy,1107.5,Yes,1,None
2024-08-29,PA006,Tokyo,London,First Class,476,Yes,2,Vegan
2024-04-04,PA012,Tokyo,Perth,Business Class,818.4,Yes,1,Egg Free
2024-08-09,PA010,Tokyo,New York,First Class,665,Yes,3,Dairy Free
2024-04-03,PA004,Perth,London,First Class,427,Yes,1,None
2024-10-06,PA009,New York,Tokyo,Economy,3165,Yes,1,None
2024-07-14,PA006,Tokyo,London,First Class,630,Yes,1,Egg Free
2024-01-05,PA012,Tokyo,Perth,First Class,436,Yes,3,Nut Free
2024-03-22,PA007,New York,Perth,Economy,2240,Yes,0,Dairy Free
2024-05-25,PA010,Tokyo,New York,Business Class,674.4,Yes,3,None
2024-03-20,PA007,New York,Perth,Economy,1170,Yes,0,None
2024-10-22,PA001,London,New York,Premium Economy,952.5,Yes,1,None
2024-12-24,PA005,London,Tokyo,First Class,244,Yes,0,Vegetarian
2024-02-01,PA005,London,Tokyo,First Class,586,Yes,0,Dairy Free
2024-02-20,PA002,New York,London,Premium Economy,1737.5,Yes,3,Vegan
2024-07-15,PA006,Tokyo,London,Premium Economy,1342.5,Yes,2,Dairy Free
2024-01-07,PA003,London,Perth,Business Class,462,Yes,2,None
2024-07-11,PA002,New York,London,First Class,494,Yes,3,Vegan
2024-01-08,PA007,New York,Perth,Economy,2300,Yes,1,Vegetarian
2024-08-19,PA002,New York,London,First Class,213,Yes,0,Vegetarian
2024-06-28,PA009,New York,Tokyo,Economy,2850,Yes,1,Vegetarian
2024-11-23,PA003,London,Perth,First Class,646,Yes,1,Vegan
2024-08-11,PA012,Tokyo,Perth,Premium Economy,1140,Yes,2,Egg Free
2024-05-02,PA009,New York,Tokyo,Business Class,706.8,Yes,0,Egg Free
2024-07-18,PA007,New York,Perth,Business Class,709.2,Yes,2,Nut Free
2024-11-25,PA003,London,Perth,Economy,2155,Yes,2,Nut Free
2024-06-10,PA001,London,New York,Premium Economy,665,Yes,0,None
2024-10-20,PA001,London,New York,Business Class,451.2,Yes,2,Dairy Free
2024-04-16,PA009,New York,Tokyo,Business Class,282,Yes,2,Vegan
2024-12-26,PA006,Tokyo,London,Economy,2395,Yes,0,Dairy Free
2024-03-26,PA011,Perth,Tokyo,First Class,645,Yes,3,Egg Free
2024-06-23,PA007,New York,Perth,First Class,666,Yes,1,Egg Free
2024-09-09,PA012,Tokyo,Perth,Business Class,265.2,Yes,1,None
2024-08-15,PA006,Tokyo,London,Economy,1515,Yes,0,Egg Free
2024-09-09,PA009,New York,Tokyo,Premium Economy,1557.5,Yes,1,Dairy Free
2024-04-07,PA003,London,Perth,Premium Economy,1727.5,Yes,1,None
2024-04-30,PA009,New York,Tokyo,Economy,1220,Yes,3,Vegetarian
2024-10-28,PA010,Tokyo,New York,Business Class,796.8,Yes,2,Dairy Free
2024-04-16,PA008,Perth,New York,Economy,2235,Yes,1,Egg Free
2024-08-27,PA003,London,Perth,First Class,694,Yes,0,Dairy Free
2024-02-06,PA012,Tokyo,Perth,Premium Economy,570,Yes,2,Dairy Free
2024-09-03,PA009,New York,Tokyo,Premium Economy,840,Yes,0,Nut Free
2024-12-31,PA002,New York,London,Premium Economy,677.5,Yes,3,Nut Free
2024-08-28,PA003,London,Perth,Premium Economy,505,Yes,3,None
2024-10-23,PA001,London,New York,Economy,1155,Yes,1,Egg Free
2024-10-02,PA011,Perth,Tokyo,Business Class,679.2,Yes,3,Nut Free
2024-04-01,PA008,Perth,New York,Premium Economy,1530,Yes,1,Vegetarian
2024-05-09,PA002,New York,London,Economy,2585,Yes,1,Egg Free
2024-04-25,PA006,Tokyo,London,Economy,1650,Yes,3,Egg Free
2024-05-03,PA011,Perth,Tokyo,Business Class,627.6,Yes,2,Egg Free
2024-06-20,PA001,London,New York,First Class,456,Yes,3,Vegetarian
2024-10-09,PA012,Tokyo,Perth,Premium Economy,980,Yes,1,Egg Free
2024-05-06,PA006,Tokyo,London,Premium Economy,832.5,Yes,3,Egg Free
2024-08-05,PA007,New York,Perth,Economy,1765,Yes,1,Vegetarian
2024-10-19,PA002,New York,London,Premium Economy,650,Yes,1,Vegan
2024-10-03,PA007,New York,Perth,First Class,694,Yes,3,Nut Free
2024-08-24,PA006,Tokyo,London,Premium Economy,1447.5,Yes,3,None
2024-11-19,PA005,London,Tokyo,First Class,238,Yes,0,Vegetarian
2024-06-19,PA006,Tokyo,London,Economy,1705,Yes,2,Dairy Free
2024-09-11,PA004,Perth,London,Premium Economy,922.5,Yes,2,Vegetarian
2024-07-18,PA008,Perth,New York,First Class,395,Yes,2,Dairy Free
2024-05-03,PA001,London,New York,First Class,567,Yes,2,Vegan
2024-02-07,PA009,New York,Tokyo,Business Class,421.2,Yes,0,Vegetarian
2024-08-06,PA002,New York,London,Business Class,586.8,Yes,1,Vegetarian
2024-12-13,PA009,New York,Tokyo,Business Class,604.8,Yes,1,Vegan
2024-07-04,PA007,New York,Perth,Premium Economy,1080,Yes,3,Vegan
2024-07-01,PA004,Perth,London,Economy,1235,Yes,1,Vegan
2024-08-13,PA011,Perth,Tokyo,Business Class,768,Yes,3,Nut Free
2024-12-16,PA002,New York,London,Premium Economy,620,Yes,2,Egg Free
2024-02-28,PA006,Tokyo,London,Economy,1695,Yes,0,Dairy Free
2024-11-19,PA002,New York,London,Business Class,375.6,Yes,0,Nut Free
2024-02-27,PA009,New York,Tokyo,Business Class,369.6,Yes,1,Dairy Free
2024-02-08,PA006,Tokyo,London,Economy,1310,Yes,1,Dairy Free
2024-02-14,PA010,Tokyo,New York,Premium Economy,1107.5,Yes,1,Vegetarian
2024-08-15,PA012,Tokyo,Perth,Business Class,507.6,Yes,1,Vegan
2024-03-07,PA001,London,New York,Economy,2960,Yes,1,Egg Free
2024-10-30,PA010,Tokyo,New York,Business Class,402,Yes,2,Nut Free
2024-05-01,PA002,New York,London,First Class,277,Yes,3,Dairy Free
2024-12-26,PA008,Perth,New York,Business Class,475.2,Yes,1,Vegan
2024-07-25,PA012,Tokyo,Perth,Economy,3115,Yes,2,None
2024-09-07,PA009,New York,Tokyo,Economy,3310,Yes,0,Vegetarian
2024-07-22,PA006,Tokyo,London,Premium Economy,602.5,Yes,2,None
2024-03-14,PA005,London,Tokyo,Premium Economy,1457.5,Yes,3,Dairy Free
2024-08-27,PA007,New York,Perth,Business Class,726,Yes,3,Dairy Free
2024-09-23,PA009,New York,Tokyo,Premium Economy,1275,Yes,2,Nut Free
2024-10-10,PA002,New York,London,Economy,3000,Yes,1,Vegan
2024-06-12,PA009,New York,Tokyo,Premium Economy,1715,Yes,0,Vegan
2024-08-31,PA004,Perth,London,First Class,599,Yes,0,Egg Free
2024-01-28,PA001,London,New York,Premium Economy,1395,Yes,0,Vegetarian
2024-05-26,PA003,London,Perth,Economy,2455,Yes,3,Dairy Free
2024-08-28,PA004,Perth,London,Economy,3050,Yes,3,Egg Free
2024-01-03,PA011,Perth,Tokyo,Economy,3500,Yes,2,Nut Free
2024-12-23,PA006,Tokyo,London,Business Class,480,Yes,2,Dairy Free
2024-11-10,PA007,New York,Perth,Premium Economy,1070,Yes,3,Vegetarian
2024-03-26,PA003,London,Perth,Business Class,508.8,Yes,1,Dairy Free
2024-12-14,PA011,Perth,Tokyo,Premium Economy,1310,Yes,3,Vegetarian
2024-07-10,PA005,London,Tokyo,Business Class,787.2,Yes,3,Dairy Free
2024-10-31,PA002,New York,London,First Class,275,Yes,1,Nut Free
2024-05-14,PA008,Perth,New York,Premium Economy,1477.5,Yes,1,Nut Free
2024-04-04,PA009,New York,Tokyo,Economy,3175,Yes,0,Vegetarian
2024-06-20,PA006,Tokyo,London,First Class,200,Yes,2,Dairy Free
2024-02-13,PA004,Perth,London,Premium Economy,752.5,Yes,0,None
2024-05-14,PA006,Tokyo,London,Premium Economy,990,Yes,2,Egg Free
2024-10-29,PA001,London,New York,First Class,216,Yes,0,Nut Free
2024-02-10,PA005,London,Tokyo,First Class,681,Yes,1,Vegetarian
2024-08-13,PA008,Perth,New York,First Class,506,Yes,2,Nut Free
2024-04-03,PA001,London,New York,Business Class,298.8,Yes,0,Vegan
2024-06-19,PA009,New York,Tokyo,Premium Economy,1275,Yes,1,None
2024-03-07,PA009,New York,Tokyo,Business Class,332.4,Yes,3,Egg Free
2024-08-30,PA005,London,Tokyo,Economy,3315,Yes,3,Nut Free
2024-06-03,PA002,New York,London,Economy,1230,Yes,0,Vegetarian
2024-10-01,PA002,New York,London,Economy,2415,Yes,0,Vegan
2024-04-24,PA012,Tokyo,Perth,Premium Economy,535,Yes,2,Vegan
2024-06-20,PA001,London,New York,Premium Economy,930,Yes,0,Vegan
2024-10-09,PA003,London,Perth,Economy,3415,Yes,3,Vegetarian
2024-10-20,PA005,London,Tokyo,First Class,514,Yes,1,Nut Free
2024-02-15,PA009,New York,Tokyo,Economy,2980,Yes,0,None
2024-01-15,PA008,Perth,New York,Business Class,502.8,Yes,3,Vegan
2024-08-16,PA010,Tokyo,New York,Economy,3265,Yes,2,Vegetarian
2024-08-02,PA008,Perth,New York,Premium Economy,1550,Yes,1,Dairy Free
2024-07-13,PA005,London,Tokyo,Economy,1480,Yes,1,Vegetarian
2024-01-27,PA002,New York,London,Business Class,489.6,Yes,1,None
2024-09-19,PA002,New York,London,Premium Economy,635,Yes,1,Vegetarian
2024-08-16,PA007,New York,Perth,Premium Economy,757.5,Yes,3,Egg Free
2024-10-15,PA009,New York,Tokyo,Premium Economy,870,Yes,0,Dairy Free
2024-03-12,PA007,New York,Perth,Business Class,434.4,Yes,1,Nut Free
2024-04-15,PA003,London,Perth,Business Class,249.6,Yes,3,Egg Free
2024-05-13,PA004,Perth,London,Economy,2785,Yes,3,Vegan
2024-08-30,PA005,London,Tokyo,Business Class,811.2,Yes,3,Vegan
2024-10-01,PA004,Perth,London,First Class,510,Yes,1,Vegetarian
2024-05-19,PA010,Tokyo,New York,Premium Economy,1555,Yes,2,Egg Free
2024-06-01,PA009,New York,Tokyo,First Class,274,Yes,3,Vegetarian
2024-05-11,PA005,London,Tokyo,Business Class,706.8,Yes,1,Egg Free
2024-09-12,PA008,Perth,New York,Economy,1315,Yes,0,Dairy Free
2024-08-23,PA011,Perth,Tokyo,Economy,1160,Yes,1,Dairy Free
2024-09-23,PA012,Tokyo,Perth,Economy,3495,Yes,0,Egg Free
2024-07-27,PA003,London,Perth,Premium Economy,1232.5,Yes,1,None
2024-11-22,PA001,London,New York,Economy,1030,Yes,1,None
2024-05-29,PA010,Tokyo,New York,Economy,2765,Yes,3,Dairy Free
2024-02-04,PA008,Perth,New York,Economy,1295,Yes,2,Egg Free
2024-09-10,PA012,Tokyo,Perth,Business Class,420,Yes,2,Nut Free
2024-12-21,PA002,New York,London,Business Class,379.2,Yes,0,Dairy Free
2024-12-25,PA003,London,Perth,First Class,473,Yes,0,None
2024-07-15,PA011,Perth,Tokyo,Premium Economy,1670,Yes,1,Vegan
2024-12-09,PA003,London,Perth,First Class,602,Yes,2,Egg Free
2024-09-20,PA010,Tokyo,New York,First Class,214,Yes,3,Dairy Free
2024-12-23,PA009,New York,Tokyo,Premium Economy,952.5,Yes,2,Egg Free
2024-11-28,PA005,London,Tokyo,Economy,2830,Yes,3,Vegan
2024-12-03,PA002,New York,London,Business Class,710.4,Yes,1,Dairy Free
2024-03-05,PA004,Perth,London,Economy,2655,Yes,2,Egg Free
2024-12-08,PA009,New York,Tokyo,First Class,644,Yes,0,Egg Free
2024-07-23,PA004,Perth,London,Economy,1360,Yes,3,Nut Free
2024-03-23,PA011,Perth,Tokyo,Premium Economy,572.5,Yes,2,Vegetarian
2024-03-25,PA004,Perth,London,Premium Economy,885,Yes,3,Egg Free
2024-05-18,PA008,Perth,New York,First Class,625,Yes,2,Egg Free
2024-03-29,PA002,New York,London,Economy,1515,Yes,2,None
2024-05-29,PA008,Perth,New York,Economy,3435,Yes,2,Egg Free
2024-03-16,PA011,Perth,Tokyo,Economy,2305,Yes,2,Vegetarian
2024-08-07,PA006,Tokyo,London,Business Class,460.8,Yes,1,Dairy Free
2024-09-16,PA001,London,New York,Premium Economy,507.5,Yes,0,Nut Free
2024-09-22,PA012,Tokyo,Perth,Economy,1550,Yes,1,Nut Free
2024-04-04,PA012,Tokyo,Perth,Business Class,583.2,Yes,1,Vegetarian
2024-08-28,PA011,Perth,Tokyo,Premium Economy,780,Yes,2,Vegan
2024-06-14,PA005,London,Tokyo,Business Class,421.2,Yes,0,None
2024-06-27,PA007,New York,Perth,Economy,2060,Yes,1,Nut Free
2024-11-08,PA002,New York,London,Premium Economy,865,Yes,3,Vegetarian
2024-10-27,PA002,New York,London,Economy,2780,Yes,2,Egg Free
2024-11-24,PA011,Perth,Tokyo,Business Class,415.2,Yes,3,Vegan
2024-03-27,PA003,London,Perth,Business Class,426,Yes,0,Egg Free
2024-09-11,PA010,Tokyo,New York,First Class,692,Yes,2,Vegetarian
2024-12-23,PA006,Tokyo,London,Premium Economy,1380,Yes,1,Egg Free
2024-05-14,PA008,Perth,New York,Economy,2435,Yes,0,Vegetarian
2024-07-03,PA012,Tokyo,Perth,Premium Economy,1582.5,Yes,1,Egg Free
