,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,From,To,Class,Price
80,Yes,1,None,2024-12-12,PA010,Tokyo,New York,Business Class,793.1999999999998
81,Yes,0,Dairy Free,2024-02-14,PA006,Tokyo,London,Business Class,270.0
82,Yes,1,Vegetarian,2024-11-23,PA003,London,Perth,Business Class,538.8
84,Yes,0,Vegetarian,2024-02-14,PA002,New York,London,First Class,296.0
85,Yes,3,Nut Free,2024-05-17,PA003,London,Perth,Business Class,379.2
88,Yes,0,Nut Free,2024-06-02,PA007,New York,Perth,First Class,612.0
90,Yes,3,Nut Free,2024-07-23,PA005,London,Tokyo,Premium Economy,1015.0
91,Yes,0,None,2024-08-21,PA012,Tokyo,Perth,Business Class,572.4
94,Yes,1,Egg Free,2024-03-17,PA005,London,Tokyo,Economy,2380.0
97,Yes,0,Nut Free,2024-11-27,PA007,New York,Perth,Premium Economy,692.5
98,Yes,2,Vegetarian,2024-07-25,PA009,New York,Tokyo,Business Class,734.4
99,Yes,3,Vegetarian,2024-05-13,PA006,Tokyo,London,Premium Economy,1520.0
105,Yes,2,Dairy Free,2024-09-28,PA011,Perth,Tokyo,Premium Economy,1397.5
106,Yes,0,Dairy Free,2024-06-14,PA009,New York,Tokyo,First Class,383.0
107,Yes,2,Vegetarian,2024-06-08,PA007,New York,Perth,Economy,2825.0
110,Yes,2,Dairy Free,2024-01-09,PA002,New York,London,First Class,342.0
111,Yes,1,None,2024-11-22,PA003,London,Perth,Economy,2245.0
113,Yes,2,Vegetarian,2024-09-04,PA002,New York,London,Premium Economy,1387.5
114,Yes,2,Egg Free,2024-09-19,PA009,New York,Tokyo,Premium Economy,675.0
115,Yes,3,Dairy Free,2024-02-27,PA004,Perth,London,First Class,535.0
116,Yes,0,Nut Free,2024-10-19,PA001,London,New York,Premium Economy,545.0
118,Yes,0,Dairy Free,2024-03-26,PA012,Tokyo,Perth,First Class,566.0
121,Yes,2,Dairy Free,2024-09-27,PA002,New York,London,Premium Economy,625.0
122,Yes,0,None,2024-05-11,PA006,Tokyo,London,First Class,208.0
123,Yes,0,Vegetarian,2024-06-25,PA012,Tokyo,Perth,Economy,2080.0
124,Yes,0,None,2024-08-03,PA002,New York,London,First Class,284.0
128,Yes,3,Vegetarian,2024-04-27,PA011,Perth,Tokyo,Economy,3245.0
129,Yes,2,Egg Free,2024-04-09,PA006,Tokyo,London,Premium Economy,710.0
130,Yes,3,Vegan,2024-11-19,PA003,London,Perth,Premium Economy,1357.5
131,Yes,1,Nut Free,2024-06-24,PA006,Tokyo,London,First Class,245.0
132,Yes,1,Vegetarian,2024-02-12,PA011,Perth,Tokyo,Business Class,505.2
133,Yes,0,Egg Free,2024-03-04,PA008,Perth,New York,Business Class,538.8
134,Yes,0,Egg Free,2024-12-15,PA009,New York,Tokyo,Economy,1310.0
137,Yes,3,Vegan,2024-09-25,PA008,Perth,New York,First Class,642.0
139,Yes,2,Nut Free,2024-02-23,PA002,New York,London,Premium Economy,547.5
142,Yes,2,Nut Free,2024-01-27,PA004,Perth,London,Premium Economy,1147.5
144,Yes,2,Egg Free,2024-06-20,PA008,Perth,New York,First Class,217.0
145,Yes,1,Nut Free,2024-10-14,PA011,Perth,Tokyo,Economy,2180.0
146,Yes,0,Dairy Free,2024-04-01,PA004,Perth,London,Business Class,261.6
153,Yes,1,Dairy Free,2024-08-04,PA011,Perth,Tokyo,Economy,1005.0
157,Yes,3,Egg Free,2024-04-09,PA007,New York,Perth,Premium Economy,842.5
161,Yes,0,None,2024-08-18,PA002,New York,London,Premium Economy,1360.0
163,Yes,1,Vegan,2024-04-17,PA002,New York,London,Economy,1630.0
164,Yes,0,Nut Free,2024-01-15,PA004,Perth,London,Premium Economy,1472.5
165,Yes,3,Vegan,2024-02-10,PA009,New York,Tokyo,First Class,368.0
167,Yes,3,Vegan,2024-06-02,PA006,Tokyo,London,Premium Economy,1735.0
169,Yes,3,Vegan,2024-10-06,PA010,Tokyo,New York,Premium Economy,992.5
174,Yes,1,Vegetarian,2024-06-03,PA011,Perth,Tokyo,First Class,201.0
178,Yes,2,Dairy Free,2024-12-10,PA002,New York,London,Economy,3030.0
179,Yes,2,None,2024-12-21,PA001,London,New York,Business Class,655.1999999999999
181,Yes,0,Dairy Free,2024-09-10,PA011,Perth,Tokyo,Business Class,306.0
183,Yes,3,Egg Free,2024-03-12,PA006,Tokyo,London,Economy,3010.0
184,Yes,1,None,2024-10-17,PA005,London,Tokyo,First Class,228.0
185,Yes,3,Dairy Free,2024-08-24,PA003,London,Perth,Economy,1780.0
186,Yes,2,Vegan,2024-12-11,PA004,Perth,London,First Class,595.0
190,Yes,3,Nut Free,2024-08-01,PA003,London,Perth,Economy,2170.0
191,Yes,0,Vegan,2024-07-31,PA010,Tokyo,New York,Premium Economy,1412.5
197,Yes,2,Nut Free,2024-10-08,PA008,Perth,New York,Business Class,249.6
202,Yes,1,Egg Free,2024-12-12,PA010,Tokyo,New York,Premium Economy,1437.5
203,Yes,1,Dairy Free,2024-10-14,PA009,New York,Tokyo,Economy,1360.0
207,Yes,0,Nut Free,2024-10-25,PA008,Perth,New York,First Class,575.0
210,Yes,0,None,2024-08-07,PA002,New York,London,Premium Economy,832.5
211,Yes,3,Vegan,2024-12-04,PA004,Perth,London,Economy,2540.0
212,Yes,2,None,2024-07-28,PA005,London,Tokyo,First Class,263.0
214,Yes,0,Vegan,2024-03-12,PA007,New York,Perth,Economy,2640.0
215,Yes,3,Vegetarian,2024-05-11,PA003,London,Perth,Economy,2885.0
217,Yes,1,Nut Free,2024-12-05,PA008,Perth,New York,Economy,2200.0
220,Yes,0,Dairy Free,2024-03-13,PA001,London,New York,Premium Economy,1422.5
222,Yes,3,None,2024-12-05,PA012,Tokyo,Perth,Economy,2230.0
225,Yes,0,Vegan,2024-08-21,PA008,Perth,New York,First Class,300.0
227,Yes,2,None,2024-10-31,PA010,Tokyo,New York,Premium Economy,780.0
229,Yes,1,Dairy Free,2024-11-01,PA009,New York,Tokyo,Premium Economy,1585.0
230,Yes,1,Egg Free,2024-06-04,PA010,Tokyo,New York,First Class,389.0
232,Yes,1,Nut Free,2024-06-12,PA012,Tokyo,Perth,Business Class,318.0
233,Yes,0,None,2024-08-13,PA011,Perth,Tokyo,Economy,1165.0
234,Yes,3,None,2024-02-03,PA003,London,Perth,Premium Economy,1095.0
237,Yes,2,Vegan,2024-08-20,PA005,London,Tokyo,Premium Economy,1632.5
238,Yes,3,Dairy Free,2024-01-20,PA004,Perth,London,First Class,440.0
239,Yes,1,Nut Free,2024-05-04,PA007,New York,Perth,Premium Economy,1680.0
243,Yes,1,Dairy Free,2024-01-03,PA006,Tokyo,London,Economy,1280.0
245,Yes,1,Egg Free,2024-04-11,PA008,Perth,New York,First Class,676.0
246,Yes,1,Egg Free,2024-03-21,PA004,Perth,London,Business Class,836.4
248,Yes,3,Dairy Free,2024-10-09,PA011,Perth,Tokyo,Economy,3065.0
251,Yes,3,Dairy Free,2024-05-31,PA007,New York,Perth,Premium Economy,725.0
252,Yes,2,Nut Free,2024-05-19,PA005,London,Tokyo,Business Class,424.8
255,Yes,0,None,2024-01-25,PA012,Tokyo,Perth,Business Class,358.8
256,Yes,3,Dairy Free,2024-01-02,PA003,London,Perth,Premium Economy,1200.0
258,Yes,0,Vegan,2024-05-15,PA008,Perth,New York,Business Class,427.2
260,Yes,0,Dairy Free,2024-04-24,PA010,Tokyo,New York,Economy,2130.0
265,Yes,2,Vegetarian,2024-04-28,PA002,New York,London,Business Class,241.2
266,Yes,2,None,2024-12-13,PA003,London,Perth,Premium Economy,505.0
269,Yes,2,Dairy Free,2024-10-20,PA011,Perth,Tokyo,First Class,385.0
271,Yes,1,Vegan,2024-08-27,PA002,New York,London,First Class,573.0
272,Yes,3,Vegetarian,2024-11-12,PA003,London,Perth,Economy,2190.0
274,Yes,1,Vegetarian,2024-07-23,PA009,New York,Tokyo,Business Class,339.6
275,Yes,1,None,2024-02-22,PA005,London,Tokyo,Business Class,468.0
277,Yes,0,Vegetarian,2024-09-18,PA001,London,New York,Economy,1020.0
278,Yes,3,Dairy Free,2024-12-06,PA011,Perth,Tokyo,Business Class,601.1999999999999
279,Yes,3,Vegetarian,2024-10-10,PA001,London,New York,Economy,3035.0
280,Yes,2,Nut Free,2024-12-14,PA007,New York,Perth,Premium Economy,1305.0
281,Yes,0,None,2024-11-07,PA006,Tokyo,London,First Class,252.0
283,Yes,2,Nut Free,2024-03-21,PA003,London,Perth,Business Class,272.4
285,Yes,2,Vegan,2024-02-26,PA009,New York,Tokyo,Premium Economy,1085.0
288,Yes,1,Egg Free,2024-07-31,PA012,Tokyo,Perth,Premium Economy,817.5
289,Yes,1,Egg Free,2024-01-20,PA008,Perth,New York,Economy,2330.0
291,Yes,1,None,2024-08-26,PA007,New York,Perth,Economy,2235.0
294,Yes,0,None,2024-04-05,PA005,London,Tokyo,Economy,3005.0
295,Yes,0,None,2024-01-05,PA010,Tokyo,New York,First Class,681.0
296,Yes,2,Vegetarian,2024-03-02,PA006,Tokyo,London,Business Class,558.0
297,Yes,3,Vegetarian,2024-03-06,PA009,New York,Tokyo,Economy,1840.0
298,Yes,2,Nut Free,2024-04-16,PA012,Tokyo,Perth,First Class,506.0
299,Yes,1,Vegetarian,2024-05-29,PA007,New York,Perth,Business Class,240.0
300,Yes,2,Egg Free,2024-01-04,PA002,New York,London,Premium Economy,1635.0
302,Yes,1,Vegetarian,2024-07-07,PA011,Perth,Tokyo,Economy,2590.0
303,Yes,2,Vegan,2024-10-06,PA003,London,Perth,Business Class,783.6
304,Yes,2,None,2024-05-03,PA001,London,New York,Economy,3160.0
305,Yes,0,Egg Free,2024-08-09,PA011,Perth,Tokyo,First Class,512.0
306,Yes,0,Nut Free,2024-10-27,PA010,Tokyo,New York,Economy,1715.0
307,Yes,2,Vegan,2024-06-10,PA009,New York,Tokyo,First Class,517.0
308,Yes,0,Vegetarian,2024-12-20,PA006,Tokyo,London,Economy,2725.0
310,Yes,1,Dairy Free,2024-11-27,PA012,Tokyo,Perth,Economy,2500.0
311,Yes,1,Dairy Free,2024-03-23,PA009,New York,Tokyo,Economy,2300.0
312,Yes,1,Egg Free,2024-07-06,PA003,London,Perth,First Class,305.0
313,Yes,0,Vegetarian,2024-12-05,PA002,New York,London,Business Class,499.2
320,Yes,0,Nut Free,2024-07-09,PA012,Tokyo,Perth,Economy,1420.0
322,Yes,0,None,2024-03-31,PA006,Tokyo,London,First Class,300.0
324,Yes,3,None,2024-05-06,PA004,Perth,London,First Class,591.0
325,Yes,0,None,2024-04-10,PA001,London,New York,Premium Economy,1042.5
327,Yes,1,Vegan,2024-05-16,PA003,London,Perth,Economy,2925.0
328,Yes,1,Egg Free,2024-12-01,PA008,Perth,New York,First Class,340.0
329,Yes,1,Vegan,2024-06-26,PA003,London,Perth,Business Class,463.2
330,Yes,3,Vegetarian,2024-12-21,PA001,London,New York,Business Class,325.2
332,Yes,1,Vegetarian,2024-07-10,PA007,New York,Perth,Economy,1600.0
336,Yes,0,Nut Free,2024-12-16,PA006,Tokyo,London,Premium Economy,1582.5
337,Yes,2,None,2024-05-23,PA003,London,Perth,Economy,2045.0
338,Yes,2,Vegan,2024-08-14,PA004,Perth,London,Premium Economy,742.5
339,Yes,2,Dairy Free,2024-09-19,PA011,Perth,Tokyo,Business Class,332.4
340,Yes,2,Vegan,2024-07-06,PA004,Perth,London,Premium Economy,595.0
341,Yes,3,Vegan,2024-01-23,PA001,London,New York,Premium Economy,1290.0
342,Yes,2,Vegetarian,2024-07-07,PA008,Perth,New York,First Class,348.0
344,Yes,2,None,2024-11-06,PA001,London,New York,Economy,1245.0
345,Yes,0,Nut Free,2024-08-19,PA005,London,Tokyo,Business Class,421.2
346,Yes,0,Dairy Free,2024-05-06,PA002,New York,London,Premium Economy,912.5
347,Yes,1,Dairy Free,2024-12-17,PA011,Perth,Tokyo,First Class,511.0
348,Yes,1,Vegan,2024-07-29,PA011,Perth,Tokyo,Business Class,337.2
349,Yes,1,Vegan,2024-01-08,PA008,Perth,New York,Economy,3065.0
352,Yes,1,None,2024-12-29,PA003,London,Perth,Premium Economy,1107.5
354,Yes,2,Vegan,2024-08-29,PA006,Tokyo,London,First Class,476.0
355,Yes,1,Egg Free,2024-04-04,PA012,Tokyo,Perth,Business Class,818.4
356,Yes,3,Dairy Free,2024-08-09,PA010,Tokyo,New York,First Class,665.0
358,Yes,1,None,2024-04-03,PA004,Perth,London,First Class,427.0
363,Yes,1,None,2024-10-06,PA009,New York,Tokyo,Economy,3165.0
364,Yes,1,Egg Free,2024-07-14,PA006,Tokyo,London,First Class,630.0
366,Yes,3,Nut Free,2024-01-05,PA012,Tokyo,Perth,First Class,436.0
368,Yes,0,Dairy Free,2024-03-22,PA007,New York,Perth,Economy,2240.0
372,Yes,3,None,2024-05-25,PA010,Tokyo,New York,Business Class,674.4
373,Yes,0,None,2024-03-20,PA007,New York,Perth,Economy,1170.0
379,Yes,1,None,2024-10-22,PA001,London,New York,Premium Economy,952.5
380,Yes,0,Vegetarian,2024-12-24,PA005,London,Tokyo,First Class,244.0
381,Yes,0,Dairy Free,2024-02-01,PA005,London,Tokyo,First Class,586.0
383,Yes,3,Vegan,2024-02-20,PA002,New York,London,Premium Economy,1737.5
384,Yes,2,Dairy Free,2024-07-15,PA006,Tokyo,London,Premium Economy,1342.5
385,Yes,2,None,2024-01-07,PA003,London,Perth,Business Class,462.0
386,Yes,3,Vegan,2024-07-11,PA002,New York,London,First Class,494.0
388,Yes,1,Vegetarian,2024-01-08,PA007,New York,Perth,Economy,2300.0
392,Yes,0,Vegetarian,2024-08-19,PA002,New York,London,First Class,213.0
397,Yes,1,Vegetarian,2024-06-28,PA009,New York,Tokyo,Economy,2850.0
401,Yes,1,Vegan,2024-11-23,PA003,London,Perth,First Class,646.0
405,Yes,2,Egg Free,2024-08-11,PA012,Tokyo,Perth,Premium Economy,1140.0
407,Yes,0,Egg Free,2024-05-02,PA009,New York,Tokyo,Business Class,706.8
409,Yes,2,Nut Free,2024-07-18,PA007,New York,Perth,Business Class,709.1999999999999
410,Yes,2,Nut Free,2024-11-25,PA003,London,Perth,Economy,2155.0
412,Yes,0,None,2024-06-10,PA001,London,New York,Premium Economy,665.0
413,Yes,2,Dairy Free,2024-10-20,PA001,London,New York,Business Class,451.2
418,Yes,2,Vegan,2024-04-16,PA009,New York,Tokyo,Business Class,282.0
419,Yes,0,Dairy Free,2024-12-26,PA006,Tokyo,London,Economy,2395.0
421,Yes,3,Egg Free,2024-03-26,PA011,Perth,Tokyo,First Class,645.0
422,Yes,1,Egg Free,2024-06-23,PA007,New York,Perth,First Class,666.0
425,Yes,1,None,2024-09-09,PA012,Tokyo,Perth,Business Class,265.2
427,Yes,0,Egg Free,2024-08-15,PA006,Tokyo,London,Economy,1515.0
428,Yes,1,Dairy Free,2024-09-09,PA009,New York,Tokyo,Premium Economy,1557.5
429,Yes,1,None,2024-04-07,PA003,London,Perth,Premium Economy,1727.5
430,Yes,3,Vegetarian,2024-04-30,PA009,New York,Tokyo,Economy,1220.0
432,Yes,2,Dairy Free,2024-10-28,PA010,Tokyo,New York,Business Class,796.7999999999998
435,Yes,1,Egg Free,2024-04-16,PA008,Perth,New York,Economy,2235.0
440,Yes,0,Dairy Free,2024-08-27,PA003,London,Perth,First Class,694.0
441,Yes,2,Dairy Free,2024-02-06,PA012,Tokyo,Perth,Premium Economy,570.0
444,Yes,0,Nut Free,2024-09-03,PA009,New York,Tokyo,Premium Economy,840.0
445,Yes,3,Nut Free,2024-12-31,PA002,New York,London,Premium Economy,677.5
449,Yes,3,None,2024-08-28,PA003,London,Perth,Premium Economy,505.0
450,Yes,1,Egg Free,2024-10-23,PA001,London,New York,Economy,1155.0
454,Yes,3,Nut Free,2024-10-02,PA011,Perth,Tokyo,Business Class,679.1999999999999
455,Yes,1,Vegetarian,2024-04-01,PA008,Perth,New York,Premium Economy,1530.0
456,Yes,1,Egg Free,2024-05-09,PA002,New York,London,Economy,2585.0
457,Yes,3,Egg Free,2024-04-25,PA006,Tokyo,London,Economy,1650.0
460,Yes,2,Egg Free,2024-05-03,PA011,Perth,Tokyo,Business Class,627.6
461,Yes,3,Vegetarian,2024-06-20,PA001,London,New York,First Class,456.0
463,Yes,1,Egg Free,2024-10-09,PA012,Tokyo,Perth,Premium Economy,980.0
468,Yes,3,Egg Free,2024-05-06,PA006,Tokyo,London,Premium Economy,832.5
469,Yes,1,Vegetarian,2024-08-05,PA007,New York,Perth,Economy,1765.0
470,Yes,1,Vegan,2024-10-19,PA002,New York,London,Premium Economy,650.0
472,Yes,3,Nut Free,2024-10-03,PA007,New York,Perth,First Class,694.0
473,Yes,3,None,2024-08-24,PA006,Tokyo,London,Premium Economy,1447.5
476,Yes,0,Vegetarian,2024-11-19,PA005,London,Tokyo,First Class,238.0
478,Yes,2,Dairy Free,2024-06-19,PA006,Tokyo,London,Economy,1705.0
480,Yes,2,Vegetarian,2024-09-11,PA004,Perth,London,Premium Economy,922.5
481,Yes,2,Dairy Free,2024-07-18,PA008,Perth,New York,First Class,395.0
482,Yes,2,Vegan,2024-05-03,PA001,London,New York,First Class,567.0
483,Yes,0,Vegetarian,2024-02-07,PA009,New York,Tokyo,Business Class,421.2
484,Yes,1,Vegetarian,2024-08-06,PA002,New York,London,Business Class,586.8
485,Yes,1,Vegan,2024-12-13,PA009,New York,Tokyo,Business Class,604.8
487,Yes,3,Vegan,2024-07-04,PA007,New York,Perth,Premium Economy,1080.0
488,Yes,1,Vegan,2024-07-01,PA004,Perth,London,Economy,1235.0
491,Yes,3,Nut Free,2024-08-13,PA011,Perth,Tokyo,Business Class,768.0
492,Yes,2,Egg Free,2024-12-16,PA002,New York,London,Premium Economy,620.0
494,Yes,0,Dairy Free,2024-02-28,PA006,Tokyo,London,Economy,1695.0
495,Yes,0,Nut Free,2024-11-19,PA002,New York,London,Business Class,375.6
496,Yes,1,Dairy Free,2024-02-27,PA009,New York,Tokyo,Business Class,369.6
497,Yes,1,Dairy Free,2024-02-08,PA006,Tokyo,London,Economy,1310.0
498,Yes,1,Vegetarian,2024-02-14,PA010,Tokyo,New York,Premium Economy,1107.5
499,Yes,1,Vegan,2024-08-15,PA012,Tokyo,Perth,Business Class,507.6
500,Yes,1,Egg Free,2024-03-07,PA001,London,New York,Economy,2960.0
501,Yes,2,Nut Free,2024-10-30,PA010,Tokyo,New York,Business Class,402.0
502,Yes,3,Dairy Free,2024-05-01,PA002,New York,London,First Class,277.0
504,Yes,1,Vegan,2024-12-26,PA008,Perth,New York,Business Class,475.2
505,Yes,2,None,2024-07-25,PA012,Tokyo,Perth,Economy,3115.0
507,Yes,0,Vegetarian,2024-09-07,PA009,New York,Tokyo,Economy,3310.0
510,Yes,2,None,2024-07-22,PA006,Tokyo,London,Premium Economy,602.5
511,Yes,3,Dairy Free,2024-03-14,PA005,London,Tokyo,Premium Economy,1457.5
512,Yes,3,Dairy Free,2024-08-27,PA007,New York,Perth,Business Class,726.0
520,Yes,2,Nut Free,2024-09-23,PA009,New York,Tokyo,Premium Economy,1275.0
523,Yes,1,Vegan,2024-10-10,PA002,New York,London,Economy,3000.0
526,Yes,0,Vegan,2024-06-12,PA009,New York,Tokyo,Premium Economy,1715.0
528,Yes,0,Egg Free,2024-08-31,PA004,Perth,London,First Class,599.0
532,Yes,0,Vegetarian,2024-01-28,PA001,London,New York,Premium Economy,1395.0
533,Yes,3,Dairy Free,2024-05-26,PA003,London,Perth,Economy,2455.0
534,Yes,3,Egg Free,2024-08-28,PA004,Perth,London,Economy,3050.0
535,Yes,2,Nut Free,2024-01-03,PA011,Perth,Tokyo,Economy,3500.0
537,Yes,2,Dairy Free,2024-12-23,PA006,Tokyo,London,Business Class,480.0
541,Yes,3,Vegetarian,2024-11-10,PA007,New York,Perth,Premium Economy,1070.0
543,Yes,1,Dairy Free,2024-03-26,PA003,London,Perth,Business Class,508.8
544,Yes,3,Vegetarian,2024-12-14,PA011,Perth,Tokyo,Premium Economy,1310.0
546,Yes,3,Dairy Free,2024-07-10,PA005,London,Tokyo,Business Class,787.1999999999998
548,Yes,1,Nut Free,2024-10-31,PA002,New York,London,First Class,275.0
550,Yes,1,Nut Free,2024-05-14,PA008,Perth,New York,Premium Economy,1477.5
556,Yes,0,Vegetarian,2024-04-04,PA009,New York,Tokyo,Economy,3175.0
560,Yes,2,Dairy Free,2024-06-20,PA006,Tokyo,London,First Class,200.0
561,Yes,0,None,2024-02-13,PA004,Perth,London,Premium Economy,752.5
563,Yes,2,Egg Free,2024-05-14,PA006,Tokyo,London,Premium Economy,990.0
572,Yes,0,Nut Free,2024-10-29,PA001,London,New York,First Class,216.0
576,Yes,1,Vegetarian,2024-02-10,PA005,London,Tokyo,First Class,681.0
577,Yes,2,Nut Free,2024-08-13,PA008,Perth,New York,First Class,506.0
578,Yes,0,Vegan,2024-04-03,PA001,London,New York,Business Class,298.8
579,Yes,1,None,2024-06-19,PA009,New York,Tokyo,Premium Economy,1275.0
582,Yes,3,Egg Free,2024-03-07,PA009,New York,Tokyo,Business Class,332.4
584,Yes,3,Nut Free,2024-08-30,PA005,London,Tokyo,Economy,3315.0
585,Yes,0,Vegetarian,2024-06-03,PA002,New York,London,Economy,1230.0
590,Yes,0,Vegan,2024-10-01,PA002,New York,London,Economy,2415.0
591,Yes,2,Vegan,2024-04-24,PA012,Tokyo,Perth,Premium Economy,535.0
592,Yes,0,Vegan,2024-06-20,PA001,London,New York,Premium Economy,930.0
593,Yes,3,Vegetarian,2024-10-09,PA003,London,Perth,Economy,3415.0
594,Yes,1,Nut Free,2024-10-20,PA005,London,Tokyo,First Class,514.0
595,Yes,0,None,2024-02-15,PA009,New York,Tokyo,Economy,2980.0
598,Yes,3,Vegan,2024-01-15,PA008,Perth,New York,Business Class,502.8
600,Yes,2,Vegetarian,2024-08-16,PA010,Tokyo,New York,Economy,3265.0
601,Yes,1,Dairy Free,2024-08-02,PA008,Perth,New York,Premium Economy,1550.0
603,Yes,1,Vegetarian,2024-07-13,PA005,London,Tokyo,Economy,1480.0
604,Yes,1,None,2024-01-27,PA002,New York,London,Business Class,489.6
606,Yes,1,Vegetarian,2024-09-19,PA002,New York,London,Premium Economy,635.0
609,Yes,3,Egg Free,2024-08-16,PA007,New York,Perth,Premium Economy,757.5
610,Yes,0,Dairy Free,2024-10-15,PA009,New York,Tokyo,Premium Economy,870.0
611,Yes,1,Nut Free,2024-03-12,PA007,New York,Perth,Business Class,434.4
615,Yes,3,Egg Free,2024-04-15,PA003,London,Perth,Business Class,249.6
616,Yes,3,Vegan,2024-05-13,PA004,Perth,London,Economy,2785.0
619,Yes,3,Vegan,2024-08-30,PA005,London,Tokyo,Business Class,811.1999999999998
621,Yes,1,Vegetarian,2024-10-01,PA004,Perth,London,First Class,510.0
623,Yes,2,Egg Free,2024-05-19,PA010,Tokyo,New York,Premium Economy,1555.0
625,Yes,3,Vegetarian,2024-06-01,PA009,New York,Tokyo,First Class,274.0
627,Yes,1,Egg Free,2024-05-11,PA005,London,Tokyo,Business Class,706.8
629,Yes,0,Dairy Free,2024-09-12,PA008,Perth,New York,Economy,1315.0
631,Yes,1,Dairy Free,2024-08-23,PA011,Perth,Tokyo,Economy,1160.0
633,Yes,0,Egg Free,2024-09-23,PA012,Tokyo,Perth,Economy,3495.0
635,Yes,1,None,2024-07-27,PA003,London,Perth,Premium Economy,1232.5
637,Yes,1,None,2024-11-22,PA001,London,New York,Economy,1030.0
638,Yes,3,Dairy Free,2024-05-29,PA010,Tokyo,New York,Economy,2765.0
641,Yes,2,Egg Free,2024-02-04,PA008,Perth,New York,Economy,1295.0
647,Yes,2,Nut Free,2024-09-10,PA012,Tokyo,Perth,Business Class,420.0
649,Yes,0,Dairy Free,2024-12-21,PA002,New York,London,Business Class,379.2
650,Yes,0,None,2024-12-25,PA003,London,Perth,First Class,473.0
