,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,From,To,Class,Price
140,No,1,Egg Free,2024-02-14,PA009,New York,Tokyo,First Class,473.0
141,No,1,Dairy Free,2024-09-04,PA012,Tokyo,Perth,Premium Economy,1177.5
143,No,3,Egg Free,2024-06-29,PA005,London,Tokyo,Business Class,639.6
147,No,0,Dairy Free,2024-06-18,PA004,Perth,London,First Class,443.0
148,No,2,Nut Free,2024-08-04,PA006,Tokyo,London,Business Class,832.7999999999998
149,No,0,Nut Free,2024-08-03,PA005,London,Tokyo,First Class,590.0
150,No,1,Dairy Free,2024-03-02,PA003,London,Perth,Business Class,439.2
151,No,0,Nut Free,2024-07-07,PA004,Perth,London,Business Class,242.4
152,No,0,Nut Free,2024-10-18,PA010,Tokyo,New York,Premium Economy,1642.5
154,No,1,Nut Free,2024-07-10,PA012,Tokyo,Perth,First Class,287.0
155,No,3,Vegetarian,2024-06-15,PA009,New York,Tokyo,First Class,500.0
156,No,3,Egg Free,2024-03-02,PA006,Tokyo,London,Economy,3070.0
158,No,3,Vegetarian,2024-03-17,PA012,Tokyo,Perth,Premium Economy,587.5
159,No,1,Nut Free,2024-10-28,PA012,Tokyo,Perth,Economy,1235.0
160,No,1,None,2024-11-06,PA001,London,New York,Premium Economy,1270.0
162,No,2,Nut Free,2024-08-13,PA004,Perth,London,Premium Economy,735.0
166,No,3,Dairy Free,2024-05-22,PA007,New York,Perth,Economy,2645.0
168,No,3,Egg Free,2024-05-18,PA008,Perth,New York,Business Class,271.2
170,No,3,Egg Free,2024-04-01,PA005,London,Tokyo,Premium Economy,1597.5
171,No,3,None,2024-07-20,PA006,Tokyo,London,First Class,215.0
172,No,0,Vegan,2024-02-15,PA012,Tokyo,Perth,First Class,208.0
173,No,3,Nut Free,2024-02-08,PA009,New York,Tokyo,Premium Economy,610.0
175,No,3,Dairy Free,2024-03-05,PA001,London,New York,Economy,2685.0
176,No,0,Dairy Free,2024-06-17,PA004,Perth,London,Premium Economy,1487.5
177,No,0,Dairy Free,2024-09-08,PA005,London,Tokyo,Business Class,422.4
180,No,0,Vegetarian,2024-10-01,PA005,London,Tokyo,Economy,1225.0
182,No,1,Dairy Free,2024-09-10,PA006,Tokyo,London,First Class,670.0
187,No,1,Dairy Free,2024-05-25,PA001,London,New York,Economy,1745.0
188,No,0,Nut Free,2024-09-27,PA008,Perth,New York,Economy,1770.0
189,No,0,Dairy Free,2024-10-08,PA008,Perth,New York,Economy,3090.0
192,No,0,Vegan,2024-11-15,PA003,London,Perth,Premium Economy,735.0
193,No,2,Egg Free,2024-01-29,PA004,Perth,London,Business Class,435.6
194,No,2,Vegan,2024-01-26,PA001,London,New York,First Class,381.0
195,No,2,Egg Free,2024-04-20,PA003,London,Perth,Business Class,688.8
196,No,1,None,2024-08-12,PA005,London,Tokyo,Economy,1050.0
198,No,0,Vegetarian,2024-07-04,PA003,London,Perth,Premium Economy,1307.5
199,No,1,Egg Free,2024-04-01,PA001,London,New York,Business Class,512.4
200,No,3,Nut Free,2024-04-21,PA004,Perth,London,Business Class,679.1999999999999
201,No,0,Vegetarian,2024-01-30,PA004,Perth,London,Business Class,246.0
204,No,1,Dairy Free,2024-02-11,PA005,London,Tokyo,Premium Economy,1567.5
205,No,1,Nut Free,2024-11-17,PA009,New York,Tokyo,First Class,340.0
206,No,1,Vegetarian,2024-08-08,PA012,Tokyo,Perth,First Class,426.0
208,No,3,Dairy Free,2024-12-20,PA002,New York,London,Business Class,574.8
209,No,3,Dairy Free,2024-07-02,PA006,Tokyo,London,First Class,522.0
213,No,3,Egg Free,2024-10-25,PA010,Tokyo,New York,Economy,1170.0
216,No,0,Vegetarian,2024-11-18,PA005,London,Tokyo,Economy,3305.0
218,No,3,Dairy Free,2024-06-02,PA011,Perth,Tokyo,Premium Economy,1177.5
219,No,3,Nut Free,2024-08-09,PA009,New York,Tokyo,First Class,612.0
221,No,2,None,2024-08-24,PA010,Tokyo,New York,Economy,2145.0
223,No,1,Vegetarian,2024-11-11,PA008,Perth,New York,Economy,2980.0
224,No,1,Vegan,2024-11-02,PA011,Perth,Tokyo,First Class,441.0
226,No,2,Dairy Free,2024-04-06,PA011,Perth,Tokyo,Premium Economy,960.0
228,No,1,None,2024-01-03,PA007,New York,Perth,Economy,3300.0
231,No,0,Vegetarian,2024-01-02,PA009,New York,Tokyo,Business Class,793.1999999999998
235,No,0,None,2024-09-17,PA006,Tokyo,London,Business Class,543.6
236,No,2,None,2024-03-11,PA009,New York,Tokyo,Business Class,446.4
240,No,2,Egg Free,2024-10-11,PA002,New York,London,Business Class,602.4
241,No,2,Nut Free,2024-10-31,PA011,Perth,Tokyo,Economy,2915.0
242,No,2,Vegan,2024-08-25,PA001,London,New York,First Class,673.0
244,No,0,Dairy Free,2024-08-15,PA003,London,Perth,Premium Economy,555.0
247,No,1,None,2024-10-18,PA009,New York,Tokyo,Premium Economy,1372.5
249,No,2,Nut Free,2024-03-20,PA008,Perth,New York,First Class,357.0
250,No,3,Vegetarian,2024-01-12,PA008,Perth,New York,Business Class,601.1999999999999
253,No,1,Vegan,2024-06-13,PA003,London,Perth,Premium Economy,1382.5
254,No,2,Nut Free,2024-04-01,PA007,New York,Perth,First Class,359.0
257,No,0,Dairy Free,2024-03-22,PA010,Tokyo,New York,Premium Economy,1135.0
259,No,2,Vegetarian,2024-01-18,PA010,Tokyo,New York,First Class,415.0
261,No,0,Egg Free,2024-12-12,PA006,Tokyo,London,Economy,1640.0
262,No,1,Egg Free,2024-12-07,PA009,New York,Tokyo,First Class,662.0
263,No,2,None,2024-11-03,PA012,Tokyo,Perth,First Class,242.0
264,No,1,Dairy Free,2024-09-22,PA009,New York,Tokyo,Economy,1690.0
267,No,3,Egg Free,2024-06-07,PA007,New York,Perth,Premium Economy,570.0
268,No,3,Vegetarian,2024-06-24,PA012,Tokyo,Perth,Premium Economy,1597.5
270,No,2,Vegan,2024-04-06,PA005,London,Tokyo,Economy,2465.0
273,No,2,Vegetarian,2024-09-11,PA007,New York,Perth,Business Class,602.4
276,No,0,Egg Free,2024-08-30,PA002,New York,London,Economy,3095.0
282,No,1,Vegan,2024-11-05,PA002,New York,London,First Class,652.0
284,No,2,Nut Free,2024-08-07,PA010,Tokyo,New York,Business Class,392.4
286,No,1,Vegan,2024-06-03,PA007,New York,Perth,Premium Economy,1390.0
287,No,2,Vegetarian,2024-11-21,PA003,London,Perth,First Class,599.0
290,No,1,None,2024-02-16,PA009,New York,Tokyo,Premium Economy,675.0
292,No,2,None,2024-05-30,PA007,New York,Perth,Business Class,417.6
293,No,2,Vegan,2024-12-27,PA012,Tokyo,Perth,First Class,606.0
301,No,0,Egg Free,2024-10-31,PA008,Perth,New York,Economy,1785.0
309,No,2,Vegetarian,2024-02-14,PA007,New York,Perth,Business Class,408.0
314,No,3,Vegan,2024-08-24,PA003,London,Perth,First Class,294.0
315,No,2,Dairy Free,2024-11-22,PA012,Tokyo,Perth,Business Class,598.8
316,No,3,Egg Free,2024-03-27,PA003,London,Perth,Business Class,756.0
317,No,1,Nut Free,2024-04-30,PA012,Tokyo,Perth,Economy,1600.0
318,No,0,Vegetarian,2024-09-06,PA006,Tokyo,London,First Class,489.0
319,No,2,Vegetarian,2024-02-01,PA005,London,Tokyo,Premium Economy,1480.0
321,No,3,Egg Free,2024-11-25,PA012,Tokyo,Perth,Premium Economy,1432.5
323,No,2,Dairy Free,2024-05-12,PA012,Tokyo,Perth,Business Class,744.0
326,No,1,Vegetarian,2024-07-16,PA010,Tokyo,New York,Economy,1460.0
331,No,3,Vegetarian,2024-08-19,PA006,Tokyo,London,Economy,2000.0
333,No,3,None,2024-08-01,PA011,Perth,Tokyo,Business Class,452.4
334,No,2,Vegan,2024-12-28,PA001,London,New York,Economy,1105.0
335,No,2,Egg Free,2024-11-02,PA006,Tokyo,London,Economy,2225.0
343,No,0,Nut Free,2024-09-25,PA007,New York,Perth,Premium Economy,522.5
350,No,3,Nut Free,2024-07-01,PA012,Tokyo,Perth,Business Class,655.1999999999999
351,No,0,Nut Free,2024-12-20,PA004,Perth,London,Business Class,760.7999999999998
353,No,1,Nut Free,2024-07-24,PA005,London,Tokyo,Business Class,246.0
357,No,3,None,2024-12-25,PA002,New York,London,Economy,2905.0
359,No,1,Vegan,2024-08-18,PA005,London,Tokyo,Economy,1975.0
360,No,1,Dairy Free,2024-01-12,PA011,Perth,Tokyo,Business Class,780.0
361,No,1,Egg Free,2024-12-03,PA011,Perth,Tokyo,Premium Economy,945.0
362,No,2,Dairy Free,2024-12-30,PA011,Perth,Tokyo,Premium Economy,745.0
365,No,1,Vegan,2024-05-06,PA004,Perth,London,First Class,318.0
367,No,1,Vegetarian,2024-10-09,PA007,New York,Perth,Premium Economy,875.0
369,No,3,Vegetarian,2024-02-17,PA008,Perth,New York,Economy,1340.0
370,No,0,Egg Free,2024-10-27,PA005,London,Tokyo,First Class,683.0
371,No,0,None,2024-06-18,PA001,London,New York,Business Class,280.8
374,No,2,None,2024-12-05,PA009,New York,Tokyo,Business Class,799.1999999999998
375,No,3,Vegetarian,2024-12-31,PA010,Tokyo,New York,Premium Economy,690.0
376,No,3,Vegetarian,2024-02-08,PA006,Tokyo,London,Business Class,534.0
377,No,0,None,2024-02-21,PA004,Perth,London,First Class,317.0
378,No,0,Dairy Free,2024-05-01,PA011,Perth,Tokyo,Economy,2780.0
382,No,0,Vegan,2024-10-10,PA009,New York,Tokyo,Business Class,718.8
387,No,1,Nut Free,2024-07-05,PA007,New York,Perth,Business Class,838.7999999999998
389,No,1,Vegan,2024-02-10,PA005,London,Tokyo,Business Class,574.8
390,No,0,None,2024-06-09,PA001,London,New York,Premium Economy,1045.0
391,No,3,Dairy Free,2024-02-04,PA005,London,Tokyo,Business Class,328.8
393,No,3,Egg Free,2024-07-12,PA004,Perth,London,Economy,2430.0
394,No,2,Nut Free,2024-02-08,PA008,Perth,New York,Business Class,506.4
395,No,1,Vegan,2024-10-21,PA008,Perth,New York,Premium Economy,1677.5
396,No,2,Vegetarian,2024-04-20,PA003,London,Perth,Economy,2030.0
398,No,3,None,2024-06-26,PA004,Perth,London,Business Class,632.4
399,No,1,Nut Free,2024-12-31,PA001,London,New York,First Class,598.0
400,No,3,Dairy Free,2024-10-24,PA002,New York,London,First Class,691.0
402,No,1,Vegan,2024-06-25,PA009,New York,Tokyo,First Class,224.0
403,No,0,Vegan,2024-10-27,PA012,Tokyo,Perth,Premium Economy,1357.5
404,No,3,Dairy Free,2024-04-23,PA004,Perth,London,First Class,276.0
406,No,1,None,2024-10-21,PA010,Tokyo,New York,Premium Economy,1125.0
408,No,3,None,2024-03-20,PA005,London,Tokyo,Premium Economy,1577.5
411,No,2,Dairy Free,2024-05-10,PA010,Tokyo,New York,Economy,1820.0
414,No,1,Vegan,2024-03-19,PA012,Tokyo,Perth,Economy,2145.0
415,No,1,Dairy Free,2024-10-30,PA011,Perth,Tokyo,Economy,2500.0
416,No,0,Vegan,2024-07-05,PA004,Perth,London,Premium Economy,1242.5
417,No,2,Nut Free,2024-04-20,PA009,New York,Tokyo,Economy,2535.0
420,No,3,Dairy Free,2024-11-28,PA009,New York,Tokyo,Business Class,240.0
423,No,3,Vegetarian,2024-08-16,PA011,Perth,Tokyo,Economy,1810.0
424,No,0,Vegetarian,2024-12-29,PA005,London,Tokyo,Business Class,745.1999999999998
426,No,0,Dairy Free,2024-06-01,PA012,Tokyo,Perth,First Class,368.0
431,No,3,None,2024-08-26,PA009,New York,Tokyo,Premium Economy,1452.5
433,No,2,Dairy Free,2024-05-25,PA006,Tokyo,London,First Class,336.0
434,No,3,Vegan,2024-11-11,PA001,London,New York,Premium Economy,1680.0
436,No,1,Dairy Free,2024-04-04,PA010,Tokyo,New York,First Class,266.0
437,No,2,Nut Free,2024-10-24,PA003,London,Perth,Economy,3235.0
438,No,0,Vegan,2024-06-27,PA011,Perth,Tokyo,First Class,358.0
439,No,3,Egg Free,2024-08-08,PA011,Perth,Tokyo,Business Class,258.0
442,No,0,Nut Free,2024-08-10,PA011,Perth,Tokyo,Premium Economy,1512.5
443,No,3,None,2024-05-13,PA009,New York,Tokyo,Premium Economy,1160.0
446,No,1,Nut Free,2024-04-05,PA012,Tokyo,Perth,First Class,336.0
447,No,1,Egg Free,2024-06-22,PA007,New York,Perth,Premium Economy,1127.5
448,No,3,Vegan,2024-09-13,PA001,London,New York,Economy,2270.0
451,No,3,Vegan,2024-02-26,PA002,New York,London,Premium Economy,1382.5
452,No,3,Vegan,2024-04-03,PA008,Perth,New York,First Class,548.0
453,No,3,Egg Free,2024-06-06,PA004,Perth,London,Economy,3120.0
458,No,3,Vegetarian,2024-12-27,PA001,London,New York,Economy,1390.0
459,No,3,Nut Free,2024-04-18,PA005,London,Tokyo,Premium Economy,927.5
462,No,0,Vegan,2024-03-16,PA009,New York,Tokyo,Economy,1235.0
464,No,1,Dairy Free,2024-06-07,PA008,Perth,New York,Business Class,735.6
465,No,3,Vegetarian,2024-08-26,PA007,New York,Perth,Economy,3360.0
466,No,0,Egg Free,2024-12-13,PA006,Tokyo,London,Economy,2715.0
467,No,1,None,2024-09-23,PA001,London,New York,Economy,2400.0
471,No,3,Nut Free,2024-07-09,PA009,New York,Tokyo,Economy,1815.0
474,No,0,Vegan,2024-06-15,PA003,London,Perth,Economy,2600.0
475,No,2,Nut Free,2024-10-13,PA012,Tokyo,Perth,Premium Economy,1092.5
477,No,0,None,2024-12-11,PA010,Tokyo,New York,Premium Economy,1572.5
479,No,3,Nut Free,2024-12-31,PA010,Tokyo,New York,Economy,1355.0
486,No,0,Vegan,2024-06-10,PA002,New York,London,Business Class,642.0
489,No,2,Dairy Free,2024-11-11,PA006,Tokyo,London,First Class,565.0
490,No,0,Vegetarian,2024-09-14,PA008,Perth,New York,Premium Economy,1070.0
493,No,2,Nut Free,2024-07-05,PA011,Perth,Tokyo,Economy,2490.0
503,No,3,Vegetarian,2024-12-03,PA011,Perth,Tokyo,Economy,2195.0
506,No,2,None,2024-09-25,PA001,London,New York,Premium Economy,1375.0
508,No,3,None,2024-07-20,PA009,New York,Tokyo,First Class,470.0
509,No,1,Vegetarian,2024-10-25,PA001,London,New York,First Class,633.0
513,No,0,Dairy Free,2024-04-08,PA002,New York,London,Business Class,752.4
514,No,2,Vegan,2024-03-16,PA012,Tokyo,Perth,First Class,618.0
515,No,1,None,2024-08-05,PA012,Tokyo,Perth,Economy,3475.0
516,No,2,Egg Free,2024-08-29,PA006,Tokyo,London,Premium Economy,670.0
517,No,1,Vegetarian,2024-06-13,PA007,New York,Perth,Business Class,402.0
518,No,0,Nut Free,2024-11-06,PA011,Perth,Tokyo,Business Class,271.2
519,No,0,Nut Free,2024-05-04,PA005,London,Tokyo,Economy,1205.0
521,No,0,None,2024-02-28,PA007,New York,Perth,Business Class,645.6
522,No,3,Nut Free,2024-07-27,PA012,Tokyo,Perth,Business Class,466.8
524,No,2,Vegetarian,2024-11-27,PA011,Perth,Tokyo,Economy,1210.0
525,No,0,Egg Free,2024-08-20,PA006,Tokyo,London,Business Class,504.0
527,No,0,Vegetarian,2024-11-30,PA002,New York,London,Premium Economy,1327.5
529,No,1,Vegan,2024-04-14,PA007,New York,Perth,Economy,2650.0
530,No,3,Dairy Free,2024-04-10,PA003,London,Perth,First Class,376.0
531,No,0,Vegetarian,2024-03-29,PA007,New York,Perth,Business Class,730.7999999999998
536,No,2,None,2024-06-12,PA008,Perth,New York,Business Class,820.7999999999998
538,No,3,Egg Free,2024-01-26,PA011,Perth,Tokyo,Premium Economy,1627.5
539,No,1,Vegetarian,2024-06-13,PA005,London,Tokyo,Economy,3045.0
540,No,0,Nut Free,2024-09-02,PA006,Tokyo,London,Economy,1265.0
542,No,0,Vegan,2024-01-12,PA009,New York,Tokyo,Premium Economy,1230.0
545,No,3,None,2024-02-06,PA003,London,Perth,Business Class,742.7999999999998
547,No,0,Vegan,2024-03-20,PA009,New York,Tokyo,Premium Economy,722.5
549,No,1,Nut Free,2024-04-23,PA003,London,Perth,Economy,1915.0
551,No,0,Nut Free,2024-02-03,PA004,Perth,London,Economy,2150.0
552,No,1,None,2024-01-11,PA005,London,Tokyo,Premium Economy,542.5
553,No,1,Egg Free,2024-12-03,PA012,Tokyo,Perth,First Class,681.0
554,No,0,Vegetarian,2024-10-21,PA008,Perth,New York,Business Class,793.1999999999998
555,No,3,None,2024-02-11,PA012,Tokyo,Perth,First Class,453.0
557,No,1,Nut Free,2024-09-01,PA006,Tokyo,London,Economy,2645.0
558,No,0,Dairy Free,2024-01-26,PA001,London,New York,Economy,1185.0
559,No,0,Nut Free,2024-10-29,PA002,New York,London,Premium Economy,1627.5
562,No,3,Egg Free,2024-06-27,PA012,Tokyo,Perth,Premium Economy,1260.0
564,No,2,Egg Free,2024-04-10,PA007,New York,Perth,Economy,1935.0
565,No,0,Egg Free,2024-04-16,PA007,New York,Perth,First Class,425.0
566,No,0,Dairy Free,2024-08-02,PA003,London,Perth,Business Class,273.6
567,No,0,Egg Free,2024-09-08,PA012,Tokyo,Perth,First Class,389.0
568,No,1,Dairy Free,2024-09-15,PA001,London,New York,Business Class,392.4
569,No,0,Vegetarian,2024-01-04,PA010,Tokyo,New York,Economy,2495.0
570,No,3,Egg Free,2024-04-24,PA008,Perth,New York,Business Class,532.8
571,No,2,Nut Free,2024-08-27,PA001,London,New York,First Class,421.0
573,No,3,None,2024-04-23,PA001,London,New York,Business Class,246.0
574,No,3,Egg Free,2024-08-07,PA006,Tokyo,London,Premium Economy,607.5
575,No,3,Nut Free,2024-12-09,PA009,New York,Tokyo,Economy,1995.0
580,No,3,None,2024-05-22,PA009,New York,Tokyo,First Class,389.0
581,No,2,Vegetarian,2024-04-19,PA010,Tokyo,New York,First Class,601.0
583,No,0,Vegan,2024-12-05,PA002,New York,London,First Class,665.0
586,No,3,Vegetarian,2024-07-28,PA006,Tokyo,London,Premium Economy,1180.0
587,No,1,Vegan,2024-07-11,PA009,New York,Tokyo,Premium Economy,1402.5
588,No,1,Egg Free,2024-02-25,PA002,New York,London,Economy,1690.0
589,No,2,None,2024-12-16,PA010,Tokyo,New York,Business Class,331.2
596,No,1,Vegan,2024-04-14,PA004,Perth,London,Economy,1315.0
597,No,1,Vegan,2024-11-30,PA002,New York,London,Business Class,634.8
599,No,1,None,2024-05-14,PA012,Tokyo,Perth,Business Class,811.1999999999998
602,No,1,Vegan,2024-06-06,PA011,Perth,Tokyo,Economy,1000.0
605,No,0,Nut Free,2024-02-28,PA010,Tokyo,New York,Economy,1105.0
607,No,3,Vegan,2024-03-09,PA004,Perth,London,Economy,2160.0
608,No,0,Dairy Free,2024-01-26,PA009,New York,Tokyo,Economy,3150.0
612,No,1,Vegetarian,2024-07-17,PA001,London,New York,First Class,210.0
613,No,1,Vegan,2024-08-19,PA007,New York,Perth,Premium Economy,862.5
614,No,0,Dairy Free,2024-01-02,PA011,Perth,Tokyo,First Class,495.0
617,No,2,None,2024-11-24,PA010,Tokyo,New York,Premium Economy,1155.0
618,No,2,Nut Free,2024-02-22,PA011,Perth,Tokyo,Business Class,534.0
620,No,3,Nut Free,2024-12-25,PA012,Tokyo,Perth,First Class,506.0
622,No,2,None,2024-09-21,PA008,Perth,New York,Business Class,445.2
624,No,2,Vegan,2024-05-27,PA004,Perth,London,Economy,3020.0
626,No,3,Dairy Free,2024-10-30,PA008,Perth,New York,Business Class,423.6
628,No,0,Vegan,2024-05-03,PA012,Tokyo,Perth,Economy,1395.0
630,No,2,Nut Free,2024-03-29,PA001,London,New York,First Class,208.0
632,No,0,Vegan,2024-10-25,PA010,Tokyo,New York,Business Class,382.8
634,No,1,Dairy Free,2024-08-07,PA004,Perth,London,Premium Economy,710.0
636,No,3,Nut Free,2024-07-13,PA005,London,Tokyo,Premium Economy,927.5
639,No,0,Nut Free,2024-05-20,PA004,Perth,London,Business Class,807.6
640,No,0,Egg Free,2024-09-19,PA012,Tokyo,Perth,Premium Economy,717.5
642,No,1,Vegetarian,2024-11-10,PA011,Perth,Tokyo,First Class,266.0
643,No,3,Egg Free,2024-12-17,PA011,Perth,Tokyo,Business Class,272.4
644,No,2,Egg Free,2024-11-10,PA007,New York,Perth,Business Class,646.8
645,No,3,Nut Free,2024-04-21,PA003,London,Perth,First Class,594.0
646,No,0,None,2024-01-18,PA005,London,Tokyo,First Class,649.0
648,No,2,Vegan,2024-04-30,PA011,Perth,Tokyo,First Class,693.0
651,No,0,None,2024-12-06,PA003,London,Perth,First Class,436.0
652,No,0,Nut Free,2024-02-11,PA005,London,Tokyo,First Class,427.0
653,No,2,Dairy Free,2024-05-19,PA011,Perth,Tokyo,First Class,660.0
656,No,0,Vegan,2024-01-23,PA010,Tokyo,New York,Business Class,554.4
657,No,1,Nut Free,2024-10-07,PA006,Tokyo,London,Premium Economy,1572.5
659,No,0,Egg Free,2024-07-02,PA007,New York,Perth,Business Class,338.4
660,No,2,None,2024-03-13,PA008,Perth,New York,Premium Economy,662.5
661,No,0,Dairy Free,2024-07-22,PA010,Tokyo,New York,Premium Economy,1540.0
662,No,3,Egg Free,2024-05-07,PA012,Tokyo,Perth,Business Class,609.6
663,No,0,Vegan,2024-06-10,PA011,Perth,Tokyo,Premium Economy,1260.0
665,No,0,Vegan,2024-01-25,PA001,London,New York,First Class,224.0
667,No,0,Vegetarian,2024-06-15,PA009,New York,Tokyo,First Class,470.0
668,No,0,Nut Free,2024-07-20,PA010,Tokyo,New York,Economy,2535.0
670,No,1,None,2024-11-06,PA001,London,New York,Premium Economy,965.0
671,No,1,Nut Free,2024-06-28,PA006,Tokyo,London,Economy,1885.0
677,No,2,Egg Free,2024-05-10,PA003,London,Perth,Economy,1350.0
678,No,1,Dairy Free,2024-01-16,PA009,New York,Tokyo,Business Class,670.8
679,No,0,None,2024-01-20,PA004,Perth,London,First Class,470.0
681,No,2,Nut Free,2024-10-30,PA005,London,Tokyo,Premium Economy,1187.5
684,No,0,Dairy Free,2024-12-17,PA002,New York,London,Economy,3085.0
685,No,0,Nut Free,2024-04-19,PA009,New York,Tokyo,Economy,2475.0
686,No,0,None,2024-07-02,PA001,London,New York,First Class,554.0
689,No,2,Egg Free,2024-09-23,PA004,Perth,London,Economy,3230.0
692,No,0,Vegetarian,2024-08-30,PA008,Perth,New York,Business Class,482.4
693,No,2,None,2024-06-08,PA007,New York,Perth,Business Class,490.8
695,No,1,Vegetarian,2024-04-11,PA007,New York,Perth,First Class,661.0
697,No,3,None,2024-02-13,PA003,London,Perth,First Class,572.0
699,No,1,Vegetarian,2024-06-20,PA011,Perth,Tokyo,Business Class,259.2
702,No,3,Vegetarian,2024-08-28,PA003,London,Perth,Economy,1475.0
706,No,0,Dairy Free,2024-04-18,PA011,Perth,Tokyo,Business Class,327.6
707,No,3,Dairy Free,2024-08-31,PA003,London,Perth,Economy,3055.0
710,No,2,None,2024-04-30,PA008,Perth,New York,Economy,3265.0
711,No,3,Nut Free,2024-07-03,PA005,London,Tokyo,Business Class,374.4
